************Bad nodes by high occurrence of cpu > threshold************

node name,instance type,cpu limit,High CPU Utilization Probability
ip-10-0-103-38,r6i.xlarge,4.0,1.0
ip-10-0-108-164,r6i.xlarge,4.0,1.0
ip-10-0-112-50,r5.xlarge,4.0,1.0
ip-10-0-113-129,r6i.xlarge,4.0,1.0
ip-10-0-124-101,r6i.xlarge,4.0,1.0
ip-10-0-137-136,r5.xlarge,4.0,1.0
ip-10-0-140-169,r5.xlarge,4.0,1.0


Node name: , ip-10-0-103-38

0,1,2,3
Window :,2023-07-11 11:57:34,2023-07-11 12:27:34,
__,pod_name,cpu,request
max avg cpu,prometheus-kafka-prometheus-server-7b7c95dbd6-68fwk,0.04422874217860746,1.4
max cpu usage,prometheus-kafka-prometheus-server-7b7c95dbd6-68fwk,0.04422874217860746,1.4
max cpu above request,cert-manager-79c5f9946-9bw9p,0.005877241595742357,0


Node name: , ip-10-0-108-164

0,1,2,3
Window :,2023-07-11 11:57:34,2023-07-11 12:27:34,
__,pod_name,cpu,request
max avg cpu,cert-manager-cainjector-76c9d55b6f-x4s2c,0.0,0
max cpu usage,cert-manager-cainjector-76c9d55b6f-x4s2c,0.0,0


Node name: , ip-10-0-112-50



Node name: , ip-10-0-113-129

0,1,2,3
Window :,2023-07-11 11:57:34,2023-07-11 12:27:34,
__,pod_name,cpu,request
max avg cpu,filebeat-6p62r,0.0038674303253628185,0.24
max cpu usage,filebeat-6p62r,0.0038674303253628185,0.24


Node name: , ip-10-0-124-101

0,1,2,3
Window :,2023-07-11 11:57:34,2023-07-11 12:27:34,
__,pod_name,cpu,request
max avg cpu,filebeat-22zfp,0.09315294093812414,0.24
max cpu usage,filebeat-22zfp,0.09315294093812414,0.24


Node name: , ip-10-0-137-136

0,1,2,3
Window :,2023-07-11 11:57:34,2023-07-11 12:27:34,
__,pod_name,cpu,request
max avg cpu,prometheus-node-exporter-jbprf,0.002651780884768045,0.2
max cpu usage,prometheus-node-exporter-jbprf,0.002651780884768045,0.2


Node name: , ip-10-0-140-169

0,1,2,3
Window :,2023-07-11 11:57:34,2023-07-11 12:27:34,
__,pod_name,cpu,request
max avg cpu,filebeat-6kx4r,0.009089390474725057,0.24
max cpu usage,filebeat-6kx4r,0.009089390474725057,0.24



**********Bad nodes by high avg cpu usage***************

node name,instance type,cpu limit,Avg CPU Utilization
ip-10-0-103-38,r6i.xlarge,4.0,0.11875626282799133
ip-10-0-108-164,r6i.xlarge,4.0,0.10785519125683096
ip-10-0-112-50,r5.xlarge,4.0,0.0320100182149363
ip-10-0-113-129,r6i.xlarge,4.0,0.019881602914389684
ip-10-0-124-101,r6i.xlarge,4.0,0.038644129404720985
ip-10-0-137-136,r5.xlarge,4.0,0.034827416600576366
ip-10-0-140-169,r5.xlarge,4.0,0.04616473926454256


Node name: , ip-10-0-103-38

Window :,2023-07-11 11:57:34,2023-07-11 12:27:34,
__,pod_name,cpu,request
max avg cpu,prometheus-kafka-prometheus-server-7b7c95dbd6-68fwk,0.04422874217860746,1.4
max cpu usage,prometheus-kafka-prometheus-server-7b7c95dbd6-68fwk,0.04422874217860746,1.4
max cpu above request,cert-manager-79c5f9946-9bw9p,0.005877241595742357,0


Node name: , ip-10-0-108-164

Window :,2023-07-11 11:57:34,2023-07-11 12:27:34,
__,pod_name,cpu,request
max avg cpu,cert-manager-cainjector-76c9d55b6f-x4s2c,0.0,0
max cpu usage,cert-manager-cainjector-76c9d55b6f-x4s2c,0.0,0


Node name: , ip-10-0-112-50



Node name: , ip-10-0-113-129

Window :,2023-07-11 11:57:34,2023-07-11 12:27:34,
__,pod_name,cpu,request
max avg cpu,filebeat-6p62r,0.0038674303253628185,0.24
max cpu usage,filebeat-6p62r,0.0038674303253628185,0.24


Node name: , ip-10-0-124-101

Window :,2023-07-11 11:57:34,2023-07-11 12:27:34,
__,pod_name,cpu,request
max avg cpu,filebeat-22zfp,0.09315294093812414,0.24
max cpu usage,filebeat-22zfp,0.09315294093812414,0.24


Node name: , ip-10-0-137-136

Window :,2023-07-11 11:57:34,2023-07-11 12:27:34,
__,pod_name,cpu,request
max avg cpu,prometheus-node-exporter-jbprf,0.002651780884768045,0.2
max cpu usage,prometheus-node-exporter-jbprf,0.002651780884768045,0.2


Node name: , ip-10-0-140-169

Window :,2023-07-11 11:57:34,2023-07-11 12:27:34,
__,pod_name,cpu,request
max avg cpu,filebeat-6kx4r,0.009089390474725057,0.24
max cpu usage,filebeat-6kx4r,0.009089390474725057,0.24


Node name: , ip-10-0-103-38



Node name: , ip-10-0-108-164



Node name: , ip-10-0-112-50



Node name: , ip-10-0-113-129



Node name: , ip-10-0-124-101



Node name: , ip-10-0-137-136



Node name: , ip-10-0-140-169

